productName,productPrice,productUnit,productPromotion,productPromotionDuration,productPromotionGroup,url,error
CocoThumb Fresh Coconut,$3.90,1 per pack,Buy 2 for $6.25,2 days 5 hours,CocoThumb Fresh Coconut,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13167850_XL1_20250522.jpg?w=400&q=70,False
Birds Eye Cod Fish Fingers,$14.25,504g,Save $8.40,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13255525_XL1_20250605.jpg?w=400&q=70,False
FairPrice Pure Drinking Water,$5.50,12 x 1.5L (CTN),Offer $5.50 $6.00 Save $0.50,5h,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709930_XL1_20250217.jpg?w=400&q=70,False
FairPrice 100% Coconut Water,$3.56,1L,Buy 3 for $7.50,5h,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13093717_XL1_20250609.jpg?w=400&q=70,False
China Shanghai Green Baby,$1.97,300g,Buy 2 for $3.65,2 days 5 hours,China Shanghai Green Baby,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12156192_XL1_20221122.jpg?w=400&q=70,False
Anlene Actifit3X Adult Milk Powder - Plain,$22.56,1kg,Buy2 for $37.00,Till1st Jul2025,Anlene Actifit3X Adult Milk Powder - Plain,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13067233_XL1_20250213.jpg?w=400&q=70,False
Pasar White Button Mushroom,$3.50,200g,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13101275_XL1_20250530.jpg?w=400&q=70,False
Fairprice Onwards Toilet Tissue Roll -3 Ply,$15.95,30 x 220 per pack,Save $2.87,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004987_XL1_20250522.jpg?w=400&q=70,False
Magnolia Low Fat Milk - Earl Grey,$3.63,946ml,Any2 for $6.55,Till 1st Jul 2025,"F & N Magnolia Fresh Milk, F & N Magnolia Low Fat Hi-Cal Milk - Fresh, F & N Magnolia Fresh Milk - Chocolate",https://www.fairprice.com.sg/product/magnolia-low-fat-milk-earl-grey-946ml-13269797,False
F & N Magnolia Fresh Milk,$3.63,946ml,,,,https://www.fairprice.com.sg/product/f-n-magnolia-fresh-milk-946ml-13022014,False
F & N Magnolia Low Fat Hi-Cal Milk - Fresh,$3.63,946ml,,,,https://www.fairprice.com.sg/product/f-n-magnolia-low-fat-hi-cal-milk-fresh-946ml-319948,False
F & N Magnolia Fresh Milk - Chocolate,$3.63,946ml,,,,https://www.fairprice.com.sg/product/f-n-magnolia-fresh-milk-chocolate-946ml-12337233,False
FairPrice Premium Kitchen Towel,$5.85,8 per pack,Buy 2 for $10.50,2 days 5 hours,FairPrice Premium Kitchen Towel,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13189468_XL1_20250522.jpg?w=400&q=70,False
PurSoft Tissue Soft Pack - Outdoor (3 ply),$5.34,4 x 120 per pack,Any2 for $8.95,Till 1st Jul 2025,PurSoft Tissue Soft Pack - Outdoor (3 ply),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13099154_XL1_20250522.jpg?w=400&q=70,False
South Africa Fuji Apple,$3.95,6 per pack,,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13232786_XL1_20230523.jpg?w=400&q=70,False
Anlene Actifit 3X Adult Milk Powder Plain 1kg,,1kg,,,,https://www.fairprice.com.sg/product/anlene-actifit-3x-adult-milk-powder-plain-1kg-13067233,False
