productName,productQuantity,productPrice,productPromotion,productPromotionDuration
Harvey Fresh UHT Milk - Lactose Free (Skim),1L,$2.95,,
Heinz Yellow Mustard,368g,$7.55,,
Harvey Fresh UHT Milk - Lactose Free,1L,$3.47,,
Hershey's Chocolate Chips - Semi-Sweet,340g,$7.45,Save$0.85,Till 1st Jul 2025
Hershey's Baking Chips - Milk Chocolate,326g,$7.45,Save$0.85,Till 1st Jul 2025
Hong Da Biscuits - Chestnut,500g,$3.59,,
Hershey's Kisses Chocolate - Cookies & Creme,146g,$6.75,Save$0.75,Till 1st Aug 2025
Hershey's Chocolate Bar - Dark,40g,$1.90,Save$0.20,Till 1st Jul 2025
I'm Kimchi Korean Cabbage Kimchi,500g,$8.35,Save$0.45,Till 1st Jul 2025
I'm Bulgogi Frozen Marinated Meat - Spicy Pork,300g,$6.95,Save$2.45,Till 1st Jul 2025
I'm Bulgogi Frozen Marinated Meat - Chicken,300g,$6.95,Save$2.45,Till 1st Jul 2025
Hershey's Chocolate Bar - Cookies & Creme,40g,$1.90,Save$0.20,Till 1st Jul 2025
Ikan Brand Instant Curry Paste - Chicken,200g,$2.52,,
I'm Bulgogi Frozen Marinated Meat - Spicy Chicken,300g,$6.95,Save$2.45,Till 1st Jul 2025
I'm Bulgogi Frozen Marinated Meat - Galbi Chicken,300g,$6.95,Save$2.45,Till 1st Jul 2025
Jacob's Creek Red Wine - Cabernet Sauvignon,750ml,$22.90,Save$7.38,Till 1st Jul 2025
Jeju SamDaSoo Mineral Bottle Water,20 x 500ml (CTN),$18.00,Save$4.00,Till 1st Jan 2026
Julie's Butter Crackers,900 G,$9.59,,
Jinro Bottle Soju - Green Grape,360ml,$9.95,Save$3.20,Till 1st Jul 2025
Jeju SamDaSoo Mineral Bottle Water,6 x 2L (CTN),$12.00,Save$2.40,Till 1st Jan 2026
Jacob's Creek Classic Red Wine - Merlot,750ml,$22.90,Save$7.38,Till 1st Jul 2025
Jinro Chamisul Bottle Soju - Fresh,360ml,$12.65,Save$1.51,Till 1st Jul 2025
Jinro Bottle Soju - Peach,360ml,$9.95,Save$3.20,Till 1st Jul 2025
Julie's Cheese Crackers,325 G,$4.95,,
Julie's Crackers - Butter,600g,$8.00,,
Julie's Crackers - Milk Flavoured,306g (9 per pack),$4.95,,
Julie's Charm Sandwich - Double Chocolate,172g,$3.63,,
Julie's Crackers - Wheat,250g (10 per pack),$2.94,,
Julie's Love Letter Wafer Biscuit Roll - Chocolate,705g,$9.50,,
Julie's Sandwich Biscuits - Choco More,352g,$4.95,Save$0.65,Till 1st Jul 2025
Julie's Oat 25 Cookies - Hazelnuts & Chocolate Chips,200g,$3.26,,
Julie's Le-Mond Sandwich Biscuits - Cheddar Cheese,180g,$3.26,,
Julie's Oat 25 Cookies - Strawberry,200g,$3.26,,
Julie's Sandwich Biscuits - Cheese,336g (12 per pack),$5.60,,
Julie's Sandwich Biscuits - Peanut Butter,360g (12 per pack),$5.60,,
Julie's Assorted Biscuits - Assorties,530g,$7.64,,
Julie's Crackers - Butter,250g,$2.94,,
Julie's Veggie Crackers,10 per pack,$2.95,,
Kang Shi Fu Instant Bowl Noodle - Roasted Beef,110g,$1.64,,
Nestle Kit Kat 2 Finger Chocolate Bar - Dark 52% Cocoa,8 x 17g,$6.50,,
Julie's Le-Mond Sandwich Biscuits - Lemon,170g,$3.26,,
Julie's Oat 25 Cookies - Ten Grains,200g,$3.26,,
Kang Shi Fu Bottle Drink - Sour Plum,500ml,$1.53,,
Kang Shi Fu Instant Noodle - Chicken Mushroom,5 x 100g,$3.99,,
Kangshifu Snow Pear Drink,500ml,$1.53,,
Kang Shi Fu Instant Noodle - Hot Beef,5 x 104g,$3.99,,
Kao Bleach Liquid - Colour,2L,$5.10,Save$0.91,Till 1st Jul 2025
Kao Bleach Liquid - White,1.5L,$3.01,,
Kao Bleach Liquid - Colour,3L,$7.60,Save$0.35,Till 1st Jul 2025
Kao Bleach Powder - Colour,750g,$6.60,Save$2.01,Till 1st Jul 2025
Kellogg's Cereal - Coco Pops,190g,$4.50,,
Kao White Soap Bar - Elegant Floral,3 x 85g,$1.68,,
Kellogg's Cereal - Coco Pops,350g,$7.70,,
Kao Bleach Liquid - White,2.5L,$4.00,Save$0.38,Till 1st Jul 2025
Kellogg's Cereal - Rice Krispies,130g,$3.90,,
Kellogg's Cereal - Froot Loops,400g,$8.90,,
Kellogg's Cereal - Frosties,450g,$9.20,,
Kellogg's Cereal - School Pack,170g,$5.20,,
Kellogg's Granola - Dark Chocolate,350g,$10.50,,
Kellogg's Crunchy Nut Oat Granola - Hazelnuts & Chocolate,380g,$9.60,,
Kellogg's Granola - Super Berry,350g,$10.50,,
Kellogg's Granola - Deluxe Nuts,350g,$10.50,,
Kellogg's Cereal - Froot Loops,150g,$4.50,,
Kellogg's Cereal - Frosties,300g,$6.60,,
Kellogg's Cereal - Cornflakes,275g,$5.00,,
Kellogg's Cereal - Cornflakes (Jumbo Pack),500g,$6.70,,
Kewpie Dressing - Roasted Sesame (Yuzu),210ml,$4.95,,
Kewpie Dressing - Sesame Soy Sauce,210ml,$4.95,,
Kewpie Dressing - Roasted Sesame,500ml,$10.14,,
Kewpie Dressing - Caesar,210ml,$4.95,,
Kellogg's Cereal - Froot Loops,285g,$7.70,,
Kewpie Dressing - Roasted Sesame (Deep),380ml,$9.78,,
Kikkoman Marinade - Teriyaki (Thick),290g,$5.20,,
Kewpie Mayonnaise,310ml,$5.30,,
Kikkoman Soy Sauce - Special Fragrance,600ml,$4.02,,
Kikkoman Soy Sauce - Less Salt,600ml,$5.95,Save$0.36,Till 1st Jul 2025
Kikkoman Soy Sauce,1L,$6.57,,
Kikkoman Sauce - Teriyaki,250ml,$4.99,,
Kikkoman Soy Sauce - Sushi & Sashimi,150ml,$3.56,,
Kleenex On The Go Hanky Pack (3ply),10 per pack,$1.45,,
Kleenex Facial Tissue Box - Classic (2ply),5 x 150 per pack,$6.31,,
Kirin Ichiban Lager Beer,6 x 350ml,$18.90,Save$4.32,Till 1st Jul 2025
Kikkoman Marinade - Teriyaki,250ml,$5.33,,
Kit Kat 3 In 1 Chocolate Drink,10 x 33g,$6.95,,
Kleenex Facial Tissue Box - Gentle Clean (3ply),5 x 100 per pack,$6.57,,
Kleenex Facial Tissue Soft Pack (2ply),4 x 180 per pack,$6.06,,
Kleenex Facial Tissue Soft Pack - Ultra Soft (3ply),4 x 130 per pack,$6.06,,
Kleenex Supreme Skin Care Facial Tissue - Silky Smooth,5 x 80 per pack,$6.57,,
Kleenex Hand & Face Moist Wipes - Refreshing,3 x 20 per pack,$5.50,Save$0.40,Till 1st Jul 2025
Kleenex Hand Sanitizing Moist Wipes - AntiBac,3 x 10 per pack,$3.40,,
Kleenex Hand & Face Moist Wipes - Pure Water,3 x 10 per pack,$3.40,,
Kleenex Supreme Skin Care Lotion Tissue - 3 Ply,4 per pack,$2.04,,
Kleenex Hand & Face Moist Wipes - Pure Water,3 x 20 per pack,$5.50,Save$0.40,Till 1st Jul 2025
Kleenex Toilet Tissue Roll - Ultra Soft Cottony Clean,30 x 200 per pack,$21.95,Save$3.01,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Green Tea Clean,20 x 190 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Supreme Soft (3 ply),16 x 190 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Ultra Soft (3 ply),20 x 200 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls (4 ply) + Moist Toilet Wipes,30 x 180 per pack,$21.95,Save$3.01,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Ultra Soft (3ply),10 x 200 per pack,$8.09,,
Kleenex Toilet Tissue Rolls - Ultra Soft Aloe Clean,20 x 190 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Ultra Soft,20 + 2 x 200 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Ultra Soft Tissue Soft Pack - Moments (3ply),4 x 50 per pack,$2.04,,
Kleenex Ultra Soft & Thick Toilet Tissue Rolls,20 x 180 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Ultra Soft Toilet Tissue Rolls - Aloe Clean,20 + 2 x 190 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Toilet Tissue Rolls - Ultra Soft Aroma Clean,20 x 190 per pack,$14.35,Save$0.71,Till 1st Jul 2025
Kleenex Wet Toilet Tissue Flushable Wipes,3 x 10 per pack,$3.01,,
Kleenex Facial Tissue Box - Floral (3ply),5 x 100 per pack,$6.57,,
Kleenex Facial Tissue Box - Lifestyle (3ply),5 x 100 per pack,$6.57,,
Kleenex Wet Toilet Tissue Flushable Wipes - Kids Superior Clean,3 x 20 per pack,$3.50,Save$1.03,Till 1st Jul 2025
Kleenex Wet Toilet Tissue Flushable Wipes,3 x 40 per pack,$9.05,Save$1.09,Till 1st Jul 2025
Laoganma Sauce Condiments - Chili with Peanut,210g,$3.56,,
Lao Qian Instant Drink - White Coffee,12 x 40g,$8.50,,
Lao Qian Instant Drink - Milk Tea,12 x 40g,$8.50,,
Laurier F Ultra Gentle Night Pads - Slim (30cm),10 per pack•$0.60/pc,$5.96,,
Laurier Active Fit Pantiliners - Safety Long & Wide,40 per pack•$0.11/pc,$4.02,,
Laurier Active Fit Panty Liners - Non-Scented,2 x 40 + 40 per pack,$6.06,,
Laoganma Sauce Condiments - Spicy Chili Crisp,210g,$3.56,,
Laurier F Ultra Gentle Night Pads - Slim Extra Heavy (40cm),7 per pack•$0.86/pc,$5.96,,
Laurier F Ultra Gentle Night Pads - Slim Heavy (35cm),8 per pack•$0.75/pc,$5.96,,
Laurier Worry-Free Sleep Night Pads - 35cm,2 x 12 per pack,$6.57,,
Laurier Super Slimguard Cool Day Pads - 25cm,14 per pack•$0.47/pc,$6.56,,
Laurier Safety Comfort Day Pads - Slim Non Wing (22cm),30 per pack•$0.15/pc,$4.28,,
Laurier Super Slimguard CoolNightPads-NormaltoHeavy(30cm),12 per pack•$0.55/pc,$6.56,,
Laurier Super Slimguard Day Pads - Light (17cm),24 per pack•$0.28/pc,$6.56,,
Laurier Super Slimguard Night Pads - Heavy (35cm),12 per pack•$0.55/pc,$6.56,,
Laurier Super Slimguard Night Pads - Heavy (40cm),10 per pack•$0.66/pc,$6.56,,
Laurier Super Slimguard Day Pads -Normal Heavy(22.5cm),2 x 20 per pack,$12.18,,
Laurier Super Slimguard Day Pads - Normal Heavy (25cm),2 x 16 per pack,$12.18,,
Laurier Super Slimguard Night Pads-Normal Heavy (30cm),2 x 14 per pack,$12.18,,
Laurier Ultra Gentle Sanitary Pads - Ultra Slim,17 per pack•$0.36/pc,$5.96,,
Laurier Worry-Free Sleep Gathers Night Pads - 35cm,8 per pack•$0.38/pc,$3.01,,
Laurier Ultra Gentle Winged Pad - 22.5cm,20 per pack•$0.30/pc,$5.96,,
Laurier Worry-Free Sleep Gathers Night Pads - 40cm,8 per pack•$0.50/pc,$3.97,,
Lay's Potato Chips - Sour Cream & Onion,50 x 28.3g (CTN),$37.50,Save$8.42,Till 1st Jul 2025
Lay's Potato Chips - Salted Egg,170g,$5.35,,
Lay's Potato Chips - Barbecue,50 x 28.3g (CTN),$37.50,Save$8.42,Till 1st Jul 2025
Laurier Worry-Free Sleep Night Pads - 35cm,12 per pack•$0.34/pc,$3.97,,
Lay's Double Crunch Potato Chips - Extra Cheese,170g,$5.35,,
Lay's Double Crunch Potato Chips - Nori Seaweed,170g,$5.35,,
Lay's Potato Chips - Sour Cream & Onion,50g,$1.92,,
Lay's Fries Potato Sticks - Original,90g,$4.95,,
Lotte Happy Promise Choco Pie,168g (6 per pack),$2.86,,
Little Creatures Bottle Beer - Pale Ale,6 x 330ml,$24.00,Save$6.45,Till 1st Jul 2025
Lay's Fries Potato Sticks - Seaweed,90g,$4.95,,
Lay's Fries Potato Sticks - Tomato,90g,$4.95,,
Lotte Corn Chips - Grilled,67g,$2.32,,
Lotte Binch Biscuit - Chocolate,102g,$2.80,,
Lotte Corn Chips - Original,67g,$2.32,,
Lotte Corn Chips - Sweet & Spicy,67g,$2.32,,
Lotte Pepero Stick Biscuits - Crunky,39g,$1.52,,
Lotte Pepero Stick Biscuits - Choco Filled,50g,$1.52,,
Lotte Happy Promise Cream Cake - Custard,138g,$2.86,,
Lotte Pepero Stick Biscuits - Original,47g,$1.52,,
Lotte Pepero Stick Biscuits - Strawberry,37g,$1.52,,
Lotte Pepero Stick Biscuits - Snowy Almond,32g,$1.52,,
Lotte Pepero Stick Biscuits - Almond & Chocolate,32g,$1.52,,
Lotte Pepero Stick Biscuits - White Cookie,32g,$1.52,,
Munchy's Crackers - Butter Sandwich,270g,$3.13,,
Lotte Premium Luncheon Meat,340g,$4.95,Save$1.67,Till 1st Jul 2025
Meiji Greek Style Yoghurt - Natural,500g,$5.55,Save$1.95,Till 1st Jul 2025
M&M Minis Tube,35g,$2.20,,
Meiji Greek Style Yoghurt - Triple Berry,500ml,$5.55,Save$1.95,Till 1st Jul 2025
Meiji Greek Style Yoghurt - Triple Berry,1kg,$8.55,Save$0.95,Till 19th Jun 2025
Meiji Greek Style Yoghurt - Natural,1kg,$8.55,Save$0.95,Till 19th Jun 2025
M&M's Chocolate Candies - Milk,37g,$2.00,,
M&M's Chocolate Candies - Peanut,180g,$7.45,,
M&M's Chocolate Candies Funsize - Milk,175.5g (13 per pack),$5.50,Save $2.30,Ends in 1 day 5 hours
Munchy's Oat Krunch Breakfast - Chia Seed & Milk,192g,$3.78,,
Munchy's Crackers - Wheat,276g,$3.13,,
M&M's Chocolate Candies - Milk,180g,$7.45,,
M&M's Fun Size - Crispy,12 per pack,$5.50,Save$2.30,Ends in 1 day 5 hours
Magiclean Bathroom Cleaner with Refill - Refreshing Lemon,2 x 500ml,$7.34,,
M&M's Chocolate Candies - Peanut (Funsize),175.5g (13 per pack),$5.50,Save $2.30,Ends in 1 day 5 hours
Magiclean Bathroom Cleaner - Refreshing Lemon,500ml,$4.84,,
Magiclean Bathroom Stain & Mold Remover Refill,400ml,$4.50,Save $0.49,Till 1st Jul 2025
Magiclean Bathroom Cleaner Refill - Refreshing Lemon,500ml,$3.20,Save $0.57,Till 1st Jul 2025
Magiclean Daily Care Toilet Foam Spray - Elegant Rose,350ml,$5.60,,
Magiclean Bathroom Stain & Mold Remover,400ml,$5.35,Save $0.61,Till 1st Jul 2025
Magiclean Bathroom & Toilet Cleaner Trigger Spray + Refill,2 x 500ml,$8.73,,
Magiclean Bathroom & Toilet Cleaner - Lavender Fresh,500ML,$5.35,Save $0.61,Till 1st Jul 2025
Magiclean Daily Care Toilet Foam Spray - Refreshing Citrus,350ml,$5.60,,
Magiclean Bathroom & Toilet Cleaner Refill - Lavender Fresh,500ml,$4.99,,
Magiclean Dual Power Toilet Cleaner - Forest Fresh,650ml,$3.75,Save$0.22,Till 1st Jul 2025
Magiclean Disinfectant Spray - Multi-Purpose,400ml,$5.45,Save$0.61,Till 19th Jun 2025
Magiclean Dual Power Toilet Cleaner - Ocean Fresh,650ml,$3.75,Save$0.22,Till 1st Jul 2025
Magiclean Floor Cleaner - Aromatic Lavender,2L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner Natural Essence - Calming Serenity,1.8L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner - Fresh Floral,2L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner - Crystal Shine for Marble & Stone,1.8L,$8.65,,
Magiclean Floor Cleaner Natural Essence - Delightful Bliss,1.8L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner Natural Essence - Soothing Zen,1.8L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner - Refreshing Green Apple,2L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner - Fresh Lemon,2L,$5.65,Save$0.41,Till 1st Jul 2025
Magiclean Floor Cleaner - Fresh Floral,2.8L,$6.60,Save$0.50,Till 1st Jul 2025
Magiclean Floor Cleaner - Green Apple,2.8L,$6.60,Save$0.50,Till 1st Jul 2025
Magiclean Floor Cleaners - Hygiene Plus+,2L,$5.95,Save$1.12,Till 19th Jun 2025
Magiclean Floor Cleaner - Lavender,2.8L,$6.60,Save$0.50,Till 1st Jul 2025
Magiclean Floor Cleaner - Lemon,2.8L,$6.60,Save$0.50,Till 1st Jul 2025
Magiclean Kitchen Bleach,600ml,$3.41,,
Magiclean Glass Cleaner Refill,500ml,$2.04,,
Magiclean Glass Cleaner,500ml,$3.26,,
Magiclean Wiper Handy Duster - Extendable,1 per pack,$10.70,Save$3.51,Till 19th Jun 2025
Magiclean Kitchen Cleaner Natural - Fresh Orange,500ml,$5.35,Save$0.60,Till 1st Jul 2025
Magiclean Kitchen Cleaner Natural Refill - Fresh Orange,500ml,$4.50,Save$0.49,Till 1st Jul 2025
Magiclean Multi-Purpose Disinfecting Wet Wipes Refill Pack,80 per pack,$7.28,,
Magiclean Kitchen Cleaner with Refill - Refreshing Lime,2 x 500ml,$7.34,,
Magiclean Kitchen Cleaner - Refreshing Lime,500ml,$4.84,,
Magiclean Kitchen Cleaner Refill - Refreshing Lime,500ml,$3.20,Save$0.57,Till 1st Jul 2025
Magiclean Pipe & Sink Cleaner,500ml,$7.03,,
Magiclean Wiper Dry Sheet,40 per pack,$9.50,Save$0.94,Ends in 5h
Magiclean Natural Plant-based Surface Cleaner,300ml,$5.05,Save$0.55,Till 1st Jul 2025
Magiclean Toilet Bleach Power Cleaner,3 x 500ml,$9.43,,
Magiclean Toilet Bleach Power Cleaner - Lemon,500ml,$3.30,Save$0.47,Till 1st Jul 2025
Magiclean Toilet Bleach Power Cleaner,500ml,$3.30,Save$0.47,Till 1st Jul 2025
Magiclean Pipe & Sink Cleaner Refill,500ml,$5.05,Save$0.55,Till 1st Jul 2025
Magiclean Wiper Handy Duster Refill,3 per pack,$4.59,,
Magiclean Pipe & Sink Declogger,500g,$7.03,,
Magiclean Wiper Dry Sheet,3 x 20 per pack,$13.40,Save$1.01,Till 19th Jun 2025
Magiclean Wiper Wet Sheet - Strong,12 per pack,$8.70,Save$0.52,Till 1st Jul 2025
Magiclean Wiper Wet Sheet - Fresh Mint,16 per pack,$8.70,Save$0.52,Till 1st Jul 2025
Magiclean Wiper Strong Wet Sheet - Refreshing Lemon,12 per pack,$8.70,Save$0.52,Till 1st Jul 2025
McCormick Seasoning - Black Pepper Coarse,37g,$5.25,,
Magiclean Wiper Wipe & Mop Set,1 per pack,$22.55,Save$2.41,Till 1st Jul 2025
Magiclean Wiper Wet Sheet - Happy Rose,16 per pack,$8.70,Save$0.52,Till 1st Jul 2025
Mamee Noodle Snack - BBQ,10 x 25g,$2.70,,
Mamee Noodle Snack - Chicken,10 x 25g,$2.70,,
Mayver's All Natural Spread - Almond,240g,$13.76,,
McVitie's Digestive Biscuits - Original (Twin Pack),2 x 360g,$5.85,Save$0.46,Till 1st Aug 2025
McCormick Paprika Ground,40g,$4.55,,
Mccormick Chilli Flakes,29g,$6.45,,
McCormick Seasoning - Onion Powder,45g,$4.55,,
McCormick Seasoning - Garlic Powder,55g,$5.25,,
Mayver's All Natural Spread - Peanut Butter (Crunchy),375g,$8.00,,
McCormick Grinder - Sea Salt,60g,$7.15,,
McVities Digestives Biscuits,400g,$4.45,,
McCormick Paprika Smoked,40g,$5.25,,
Meiji Chocolate - Almond,79g,$3.66,,
McVitie's Digestive Biscuits - Plain Chocolate,300g,$8.02,,
Meiji Chocolate - Almond (Black),75g,$3.66,,
Meiji Chocolate Block - Milk,120g,$4.55,Save$0.85,Till 1st Jul 2025
Meiji Chocolate Block - Black,50g,$1.92,,
Meiji Chocolate Block - Black,120g,$4.55,Save$0.85,Till 1st Jul 2025
Meiji Chocorooms - Strawberry,19g,$1.01,,
Meiji Low Fat Fresh Milk - Chocolate,2L,$6.70,Save$0.27,Till 1st Jul 2025
Meiji Chocolate Block - Milk,50g,$1.92,,
Meiji Plain Crackers - Original,4 x 26g,$1.68,,
Meiji Printed Biscuits - Dinoland,70g,$1.37,,
Meiji Fresh Milk - Regular,200ml,$1.28,,
Meiji Flavoured Yoghurt with Nata De Coco - Kyoho Grape,135g,$1.01,,
Meiji Fresh Bottle Milk - Skimmed,2L,$6.70,Save$0.27,Till 1st Jul 2025
Meiji Flavoured Milk - Coffee,830ml,$3.53,,
Meiji Gummy Choco - Green Grape,50g,$3.36,,
Meiji Fresh Milk - Regular,2L,$6.70,Save$0.27,Till 1st Jul 2025
Meiji Fresh Milk - Regular,450ml,$2.47,,
Meiji Hello Panda Biscuits - Assorted,234g,$6.67,,
Meiji Gummy Choco - Strawberry,50g,$3.36,,
Meiji Hello Panda Biscuits - Chocolate,50g,$1.37,,
Meiji Hello Panda Biscuits - Chocolate,234g (9 x 26g),$6.67,,
Meiji Hello Panda Biscuits - Double Chocolate,234g (9 x 26g),$6.67,,
Meiji Hello Panda Biscuits - Milk,234g (9 x 26g),$6.67,,
Meiji Hello Panda Biscuits - Strawberry,234g (9 x 26g),$6.67,,
Meiji Low Fat Fresh Bottle Milk - Chocolate,830ml,$3.53,,
Meiji Low Fat Fresh Bottle Milk - Chocolate,200ml,$1.28,,
Meiji Low Fat Milk - Regular,830ml,$3.53,,
Meiji Low Fat Fresh Milk - Regular,2L,$6.70,Save$0.27,Till 1st Jul 2025
Meiji Low Fat Milk Bottle Drink - Strawberry,830ml,$3.53,,
Meiji Low Fat Yoghurt - Natural,135g,$1.01,,
Meiji Lucky Biscuit Stick - Chocolate,8 x 15g,$2.95,,
Meiji Multivitamin Low Fat Milk,946ml,$4.95,Save$0.90,Till 1st Jul 2025
Meiji Low Fat Yoghurt - Aloe Vera,135g,$1.01,,
Meiji Lucky Biscuit Stick - Strawberry,120g,$2.95,,
Meiji Low Fat Yoghurt - Strawberry,135g,$1.01,,
Meiji Low Fat Yoghurt - Nata De Coco,135g,$1.01,,
Meiji Pasteurized Fresh Milk - 4.3 Deluxe,946ml,$3.63,,
Meiji Paigen Culture Milk - Less Sugar,5 x 100ml,$2.85,Save$1.17,Till 1st Jul 2025
Meiji Plain Cracker,416g,$6.06,,
Meiji Plain Cracker - Sesame,416g,$6.06,,
Meiji Plain Cracker - Oat,416g,$6.06,,
Meiji Pasteurized Lactose Free Milk,946ml,$5.25,Save$0.55,Till 1st Jul 2025
Meiji Pasteurized Fresh Milk,830ml,$3.53,,
Meiji Plain Crackers - Sesame,4 x 26g,$1.68,,
Meiji Plain Crackers - Oats,4 x 26g,$1.68,,
Meiji Printed Biscuits - Oceanland,70g,$1.37,,
Meiji Printed Biscuits - Zooland,70g,$1.37,,
Meiji Yan Yan Stick Biscuits - Choco-Hazelnut,44g,$1.37,,
Meiji Yan Yan Stick Biscuits - Chocolate,50g,$1.37,,
Meiji Yan Yan Stick Biscuits - Strawberry,50g,$1.37,,
Meiji Yan Yan Stick Biscuits - Chocolate & Strawberry,44g,$1.37,,
Meiji Yan Yan Stick Biscuits - Tsukebo Chocolate (Double Dip),48g,$1.37,,
Milo Chocolate Malt Can Drink - Calcium Plus,6 x 240ml,$7.87,,
Milo 2 in 1 Instant Chocolate Malt with Milk - Calcium Enriched,12 x 30g,$8.95,,
Milo Chocolate Malt Can Drink - Original,6 x 240ml,$7.87,,
Milo Chocolate Malt Drink - Gao Siew Dai Whole Grain Cereal,10 x 36g,$7.95,,
Milo 3 in 1 Instant Chocolate Malt with Milk- Regular,16 x 27g,$7.00,Save$0.95,Ends in 1 day 5 hours
Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,800g,$14.95,,
Milo Activ-Go Australian Recipe Sachet with Milk,12 per pack,$8.95,,
Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,1.25kg,$20.03,,
Milo Chocolate Malt Drink Powder with Milk - Regular,1.1kg,$27.73,,
Milo Chocolate Malt Milk UHT Packet Drink,1L,$3.00,,
Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,450g,$9.95,,
Milo Chocolate Malt Milk UHT Packet Drink,24 x 200ml (CTN),$14.45,Save$1.15,Till 26th Jun 2025
Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),15 x 33g,$8.95,,
Milo Chocolate Malt Milk Bottle Drink - Peng,6 x 225ml,$7.83,,
Milo Chocolate Malt Milk UHT Packet Drink,12 x 1L (CTN),$31.00,Save$5.00,Till 1st Jan 2026
Milo Chocolate Malt Milk UHT Packet Drink,40 x 125ml (CTN),$21.00,Save$7.70,Ends in 5h
Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar,24 x 200ml (CTN),$19.50,Save$1.09,Till 1st Jan 2026
Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar,40 x 125ml (CTN),$34.45,Save$4.55,Till 1st Jan 2026
Milo Chocolate Malt Milk UHT Packet Drink,4 x 125ml,$2.87,,
Milo Chocolate Malt Milk UHT Packet Drink - Less Sugar,6 x 200ml,$5.14,,
Milo Chocolate Malt UHT Packet Drink,6 x 200ml,$3.90,,
Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,750g,$9.95,,
Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,450g,$6.95,,
Milo Instant Chocolate Malt Drink Powder with Milk - Regular,1.3kg,$14.95,,
Milo Intense 3 in 1 Instant Malt - Dark Chocolate,10 x 33g,$7.46,,
Mister Potato Crisps - Sweet Potato,130g,$2.00,Save$0.63,Till 1st Jul 2025
Milo Instant Chocolate Malt with Milk - Gao Siew Dai,13 x 33g,$7.95,,
Morinaga Pancake Mix,4 x 150g,$8.83,,
Mizkan Soup Base - Pork Bone and Soy Sauce,750g,$7.03,,
Mizkan Sesame Sauce - Calorie Half,250ml,$5.95,,
Munchy's Assorted Biscuit Pack - Fun Mix (Jumbo),900g,$7.77,,
Mizkan Sesame Sauce - Roasted Nuts,250ml,$5.95,,
Mizkan Soup Base for Hot Pot - Chicken Paitan,729ml,$7.03,,
Mizkan Soup Base - Sesame and Soy Milk,750g,$7.03,,
Munchy's Lexus Cookies - Original,189g,$3.63,,
Munchy's Lexus Cookies - Dark Chocolate,189g,$3.63,,
Munchy's Crackers - Choco Sandwich,258g,$3.13,,
Munchy's Lexus Sandwich Biscuits - Chocolate,200g,$3.63,,
Munchy’s Lexus Sandwich Calcium Crackers - Cheese,190g,$3.63,,
Munchy's Lexus Sandwich Calcium Crackers - Chocolate,418g,$5.76,,
Munchy's Lexus Sandwich Calcium Crackers - Lemon,190g,$3.63,,
Munchy's Lexus Sandwich Calcium Crackers - Chocolate,190g,$3.63,,
Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,190g,$3.63,,
Munchy's Oat Krunch Crackers - Chunky Hazelnut,260g,$3.78,,
Munchy's Oat Krunch Crackers - Cranberry,192g,$3.78,,
Munchy's Lexus Sandwich Calcium Crackers - Vegetable,200g,$3.63,,
Munchy's Oat Krunch Crackers - Chunky Hazelnut,208g (8 per pack),$3.78,,
Munchy's Oat Crunch Crackers - Nutty Chocolate,208g,$3.78,,
Munchy's Oat Krunch Crackers - Dark Chocolate,260g (10 per pack),$3.78,,
Munchy's Oat Krunch Crackers - Chunky Hazelnut,390g (15 per pack),$5.60,,
Munchy's Oat Krunch Crackers-StrawberryBlackcurrent,260g,$3.78,,
Munchy's Oat Krunch Crackers - Dark Chocolate,208g (8 per pack),$3.78,,
Munchy's Oat Krunch - Nutty Chocolate,15 per pack,$5.60,,
Munchy's Oat Krunch - Dark Chocolate,15 per pack,$5.60,,
Nature's Valley Chewy Protein Bars - Peanut and Chocolate,4 x 40g,$7.75,Save$0.58,Till 1st Jul 2025
