productName,productQuantity,productPrice,productPromotion,productPromotionDuration
3M Scotch-Brite Scrub Sponges - Delicate Care (Pink),3 per pack,$6.16,,
3M Scotch-Brite Scrub Sponges - Heavy Duty,3 per pack,$6.16,,
Adams 100% Natural Peanut Butter - Unsalted Crunchy,454g,$7.45,,
Ah Huat Teh Blends - Teh C,15 x 32g,$7.02,,
Adams 100% Natural Peanut Butter - Unsalted Creamy,454g,$7.45,,
Ah Huat Kopitiam Instant White Coffee,450g,$6.95,,
Adams 100% Natural Peanut Butter - Creamy,454g,$7.45,,
Adams 100% Natural Peanut Butter - Crunchy,454g,$7.45,,
Ah Huat Instant Traditional Black Coffee - Kopi O Kosong,20 x 10g,$4.85,,
Ah Huat White Coffee - Gao Siew Dai,15 x 31g,$7.67,,
Ajinomoto Monosodium Glutamate (MSG),150g,$2.29,,
Ah Huat White Coffee - Classic,15 x 28g,$6.95,,
Ajinomoto Frozen Shumai - Shrimp,150g (10 per pack),$5.30,,
Ajinomoto Frozen Gyoza Dumplings - Shrimp,216g (12 per pack),$5.30,,
Ah Huat White Coffee - Gold Medal,15 x 38g,$7.70,,
Ah Huat White Coffee - Extra Rich,15 x 40g,$7.70,,
Ah Huat White Coffee - Hazelnut & Raw Sugar,15 x 38g,$7.70,,
Ajinomoto Japanese Dumpling - Chicken & Vegetable,600g (30 per pack),$10.08,,
Ajinomoto Pure Select Mayonnaise,400g,$7.08,,
Arnott's Tim Tam Biscuits - Dark Chocolate,200g,$5.45,,
Arnott's Tim Tam Biscuits - Double Coat,200g (9 per pack),$6.55,,
Arnott's Tim Tam Biscuits - Chewy Caramel,175g (9 per pack),$6.55,,
Arumi Frozen Korean Pancakes - Seafood,300g (3 per pack),$8.50,Save$0.70,Till 1st Aug 2025
Asahi Beer - Super Dry,12 x 330ml,$29.90,Save$8.20,Till 16th Jun 2025
Asahi Can Beer - Super Dry Draft,6 x 500ml,$24.00,Save$7.99,Till 1st Jul 2025
Asahi Can Beer - Super Dry Draft,6 x 350ml,$17.50,Save$4.70,Ends in 1 day 5 hours
Arumi Japchae Korean Style Vegetable Pasta - Soy Sauce,210g,$4.95,Save$1.06,Till 1st Jul 2025
BBQ Box Frozen Orleans Chicken Wing (Mid-joint),500 G,$11.80,,
Asahi Can Beer - Kuronama,6 x 350ml,$17.90,Save$6.32,Till 19th Jun 2025
Bega Super Slices Cheese - Slices,12 per pack,$6.11,,
Ben & Jerry's Ice Cream - Chocolate Fudge Brownie,100ml,$5.62,,
Asahi Can Draft Beer - Super Dry Nama Jokki,6 x 340ml,$18.90,Save$7.74,Ends in 1 day 5 hours
Ben & Jerry's Ice Cream - Choco-lotta Cheesecake Sundae,472ml,$15.18,,
